model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,oof_exact,target_exact_met
oof_meta_logistic_C0.2,0.5055519268451992,0.5055519268451992,0.8701828870019594,0.962606139777923,0.2888457069279088,0.5021326623514407,1.165088177661659,0.6735793598954931,0.13358794263725485,0.10692630220932106,0.18178107606679034,0.9332315277376704,0.6728300295717696,0.6794725238834001,False
oof_sgd_alpha0.0003,0.505388634879164,0.505388634879164,0.8535271064663619,0.955421293272371,0.2727368300669156,0.4940252312162938,1.3256041802743306,0.7064010450685826,0.11792147095349237,0.09508950169327528,0.15593036666640864,0.8902902167510556,0.6666213614787014,,False
oof_meta_logistic_C0.7,0.5052253429131287,0.5052253429131287,0.8690398432397126,0.9627694317439582,0.2985878374982757,0.5019362778304889,1.165088177661659,0.6745591116917048,0.1535681411675631,0.1234188034188034,0.2073762838468721,0.936286747816772,0.6731792285806564,0.6810647505511553,False
oof_meta_logistic_C1.5,0.5052253429131287,0.5052253429131287,0.8687132593076421,0.9634225996080993,0.3000455482849968,0.5020586046189093,1.1616590463749183,0.674069235793599,0.1568774027502498,0.12692630220932105,0.21065934065934067,0.9374995884915243,0.673402480090679,0.6824120192700253,False
oof_meta_logistic_C0.35,0.5047354670150228,0.5047354670150228,0.8695297191378184,0.9627694317439582,0.2875814696103579,0.5013680691021645,1.1663945133899412,0.6748856956237753,0.131984347629637,0.10598290598290598,0.17897835497835496,0.934841745743353,0.6729390412282142,0.679799134481914,False
oof_hgb_lr0.03_leaf63_l20.01,0.503592423252776,0.503592423252776,0.8556499020248204,0.9557478772044415,0.2747873572009659,0.4946962275326742,1.2929457870672763,0.7024820378837361,0.11513591097319269,0.08125624899209805,0.22954545454545455,1.0521939682926318,0.726323141298233,,False
oof_hgb_lr0.03_leaf31_l20.01,0.501796211626388,0.501796211626388,0.8545068582625734,0.9539516655780536,0.260890094215811,0.4933507986863585,1.2919660352710647,0.7057478772044415,0.08555060076799206,0.06502983389775843,0.14669407331277834,1.0319382310617855,0.7215243425995288,,False
oof_hgb_lr0.04_leaf31_l20.02,0.5,0.5,0.8546701502286087,0.9542782495101241,0.2699934748842716,0.49181106150113985,1.2906596995427826,0.7070542129327237,0.1074615026344133,0.07895500725689406,0.1862962962962963,1.0282776865467984,0.7199849395247486,,False
oof_sgd_alpha0.0001,0.4949379490529066,0.4949379490529066,0.8422599608099282,0.9492161985630307,0.28834593416231086,0.48549026811418194,1.4051273677335074,0.734977139124755,0.15846560846560848,0.1379035639412998,0.19462189462189464,0.9408051257694129,0.6773257860478991,,False
oof_knn51,0.4870999346832136,0.4870999346832136,0.8158066623122142,0.928314826910516,0.24696678145082948,0.4563143980355557,1.622305682560418,0.7937622468974527,0.112516304833378,0.10736977906789227,0.12613868214603868,1.1939127862211913,0.7791511207148856,,False
oof_knn25,0.4857935989549314,0.4857935989549314,0.8256041802743305,0.93370346178968,0.2624612820370274,0.460506768342052,1.5886675375571522,0.7816786414108425,0.13844196715140025,0.13584421867440735,0.1464291541859462,1.1737175156209025,0.7688116477739284,,False
oof_knn11,0.4812214239059438,0.4812214239059438,0.8200522534291312,0.934356629653821,0.2674459269750534,0.46285131159913945,1.631939908556499,0.7942521227955585,0.14399082668051316,0.1583034994355749,0.13474473684210525,1.164713297354842,0.7641220652508341,,False
oof_knn5,0.46685173089484,0.46685173089484,0.8141737426518615,0.9286414108425866,0.257716053798534,0.4540249294864165,1.7196276943174396,0.8228282168517309,0.12741931805222945,0.1568279309788744,0.10893544593409883,1.198044469256824,0.7676460472596195,,False
oof_knn3,0.45672762900065317,0.45672762900065317,0.8082952318745917,0.9271717831482691,0.26163968661579995,0.4469453456785308,1.7761267145656434,0.8434030045721751,0.14157388966428125,0.18672955974842767,0.1166874356081048,1.2846066816549193,0.7888116369040343,,False
