model,selected_by,epoch,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_argmax,rmse_argmax,mae_argmax,mse_expected,rmse_expected,mae_expected,members,weights,target_exact_met,score_exact_mse
hybrid_gatv2,composite,57,0.4779555845852384,0.4779555845852384,0.8386675375571522,0.9485630306988896,0.26193538841244185,0.47675943823825884,0.1157555368657135,0.1206982744718594,0.11736206110351118,1.4286414108425864,1.1952578846602882,0.7552253429131287,1.1244392642671472,1.0603958054741387,0.761629703381467,,,False,0.40652351404310905
relation_tab_mlp,exact,64,0.4779555845852384,0.4779555845852384,0.8171129980404964,0.9307642064010451,0.22682923661620227,0.4544103975731038,0.0805513535217712,0.08380906305434607,0.09906862745098038,1.6046701502286087,1.2667557579220268,0.7980078380143697,1.2335777922217577,1.1106654726882248,0.8051865443467618,,,False,0.39772207707380797
hybrid_gatv2,relaxed,28,0.4776290006531679,0.4776290006531679,0.8527106466361855,0.9577073807968648,0.2620732971170618,0.47987135990943197,0.12037408149632597,0.13243831640058054,0.1216898954703833,1.309111691704768,1.1441641891375416,0.7284454604833442,1.1676070018502926,1.0805586526655055,0.7937127372022149,,,False,0.41217341606792945
hybrid_gatv2,mse,28,0.4776290006531679,0.4776290006531679,0.8527106466361855,0.9577073807968648,0.2620732971170618,0.47987135990943197,0.12037408149632597,0.13243831640058054,0.1216898954703833,1.309111691704768,1.1441641891375416,0.7284454604833442,1.167606999340469,1.0805586515041508,0.7937127357203718,,,False,0.41217341606792945
relation_tab_mlp,macro,78,0.4715871979098628,0.4715871979098628,0.8207054212932724,0.9364794252122796,0.24397568806035105,0.4670521043961083,0.09160872096749341,0.09075149169488791,0.11183756972188448,1.5911169170476813,1.2613948299591533,0.7971913781841934,1.2435538670565969,1.115147464264972,0.8176214971408068,,,False,0.39203135205747874
relation_tab_mlp,composite,68,0.46962769431743956,0.46962769431743956,0.8241345525800131,0.9425212279555846,0.22564757167060226,0.4633235006119989,0.057853405443433134,0.04897597161748105,0.07875368803294101,1.542782495101241,1.2420879578762694,0.7890267798824298,1.2129289601959996,1.101330540844119,0.7999770852841606,,,False,0.3924885695623775
relation_tab_mlp,relaxed,13,0.4648922273024167,0.4648922273024167,0.8354016982364467,0.952971913781842,0.23535942868760945,0.464163799022281,0.07233794043215884,0.05962264150943397,0.23294117647058826,1.3772044415414761,1.1735435405392831,0.7612671456564337,1.2176955133573482,1.1034924165382145,0.8131316644808729,,,False,0.3960320052253429
relation_tab_mlp,mse,13,0.4648922273024167,0.4648922273024167,0.8354016982364467,0.952971913781842,0.23535942868760945,0.464163799022281,0.07233794043215884,0.05962264150943397,0.23294117647058826,1.3772044415414761,1.1735435405392831,0.7612671456564337,1.2176955133573482,1.1034924165382145,0.8131316644808729,,,False,0.3960320052253429
hybrid_transformer,relaxed,31,0.4611365120836055,0.4611365120836055,0.8602220770738079,0.9635858915741345,0.24918371075657136,0.4711220787127821,0.08557881136950904,0.07425415255603934,0.10955844155844155,1.2511430437622468,1.1185450566527246,0.72893533638145,1.113271095398846,1.055116626444132,0.7930546743578717,,,False,0.39857935989549315
hybrid_transformer,mse,31,0.4611365120836055,0.4611365120836055,0.8602220770738079,0.9635858915741345,0.24918371075657136,0.4711220787127821,0.08557881136950904,0.07425415255603934,0.10955844155844155,1.2511430437622468,1.1185450566527246,0.72893533638145,1.1132710937619201,1.0551166256684235,0.7930546744179423,,,False,0.39857935989549315
hybrid_gine,macro,26,0.45640104506858264,0.45640104506858264,0.8200522534291312,0.9405617243631613,0.2542196864175174,0.4681938608785269,0.11330830365817979,0.15569101757781004,0.0985351274855121,1.643370346178968,1.2819400712119766,0.8131939908556499,1.4432082208574424,1.2013360149672707,0.9073649205781147,,,False,0.3742325277596342
